Tribe,Label,Institution,State/Area,County,Site,ID,MNI,AFO,Collection History,Age/Culture,AFO,Note
St. Croix Chippewa Indians of Wisconsin,StCroix,"Beloit College, Logan Museum of Anthropology",Wisconsin,Langlade,Pine Point site(47Lg21),LMA 21493W,1,0,"In 1968 or earlier, human remains representing a single individual were recovered during installation of a septic tank with a backhoe at the Pine Point Resort, Pickerel Lake, Ainsworth, Langlade County, WI. No known individual was identified.  No associated funerary objects were noted, althrough the find was recorded as ""Historic Indian"", suggesting funerary objects may have been present. The Pine Point site was surveyed and recored as 47Lg21 (LMA 21493W), in conjunction with the 1968 Wild Rivers Project Site Survey, directed by Dr Rover J. Salzer, Beloit College Professor of Anthropology. The owners of the Pine Point Resort donated the recovered remains to the Logan Museum of Anthropology in 1968.",Ojibwa and Menominee,none,"culturally affiliated with the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Menominee Indian Tribe of Wisconsin; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Community, Wisconsin; and Sokaogon Chippewa Community, Wisconsin"
St. Croix Chippewa Indians of Wisconsin,StCroix,"Wisconsin Historical Society, Museum Division",Wisconsin,Door,Rock Island Site II,None,12,228,Excavated by Lawrence University and Ronald J. and Carol I. Mason in 1969-1973. The remains are under the control of the Wisconsin Historical Society but in the possession of Lawrence University and have been in their possession since excavation; it was only recently determined that they were under the Historical Society's control.,Middle Woodland period to Historic times,"14 lots of wood fragments from coffins, 20 lots of beads, 3 samples of red ochre, 2 spoons, 2 samples of vermilion, 1 polish pebble, 7 brass trade kettles, 3 unidentifiable objects, 1 cut and polish shell, 1 lot of silver brooches, 18 individual brooches, 6 silver brooches attached to a fabric fragment, 10 earrings, 1 bell or cup, 3 pendants, 1 wooden paint box, 1 perforated elk tooth, 1 lot of tinklets, 5 individual tinklers, 1 thimble, 10 lots of textile fragments, 1 silver cross, 4 armbands, 5 knives, 1 weasel skull and mandible, 1 lot of burned faunal remains, 3 firesteels, 2 awls, 1 catlinite pipe, 2 necklaces, 7 Jesuit rings, 2 samples of charred organic materials, 1 musket, 1 French perfume bottle, 6 gunflints, 1 musket ball, 4 pieces of shot, 2 hairpullers, 1 mirror in shards, 1 sheet of folded brass, 1 kettle handle, 1 pipe tomahawk heada, 1 lot of nails, 1 lot of bird bone tubes, 1 lot of antler fragments, 2 bells, 8 scraps of brass, 8 pieces of brass wire, 1 piece of cut iron, 1 piece of lead, 2 pieces of worked wood, 3 silver cylinders, 1 embellished antler tine, 1 carved stone, 2 pot sherds, 20 flint chips, 1 bone comb, 2 ear ornaments, 1 hafted iron ax, 1 cup, 1 French pistol, 2 brass bells, 8 bracelets, 1 limestone cobble, and 1 plaque",Amended inventory received July and Dec 2016. This site is under control of WHS in the possession of Lawrence University. Culturally affiliated with the Tribes of the notice
St. Croix Chippewa Indians of Wisconsin,StCroix,Univ. of Michigan Museum of Anthropology,Michigan,Arenac,20.2055/20AC19 Garry Site,Accession #: 3645,1,0,"Human skeletal remains encountered when a trench waas dug. Salvage excavation was conducted by C.Crumley et al. in 1971, and the human remains were transferred to the UMMA from the Michigan State Police (case #32-1003-71-5.1).",1760 AD-1820 AD,none,"Culturally affiliated to the Chippewa-Cree Indians of the Rocky Boy’s Reservation, Montana; Saginaw Chippewa Indian Tribe of Michigan; and Sault Ste. Marie Tribe of Chippewa Indians, Michigan, Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; St. Croix Chippewa Indians of Wisconsin; Sokaogon Chippewa Community, Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; and White Earth Band of the Minnesota Chippewa Tribe, Minnesota"
St. Croix Chippewa Indians of Wisconsin,StCroix,American Museum of Natural History,Minnesota,Lake,Lake Superior vicinity,N/A,4,0,"At an unknown date, human remains representing a minimum of four individuals were collected by Frances Densmore from the vicinity of Lake Superior, MN. The American Museum of Natural History purchased the remains from Miss Densmore in 1920.",Ojibway/Postcontact,none,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Field Museum of Natural History,New York,Unknown,Unknown,"Catalog #s: 41800, 41803, 41804, and 41805",7,1,"At an unknown date prior to 1891, human remains represetning a minimum of seven individuals were removed from unidentified locations in New York State. Three individuals represented by Field Museum of Natural History were removed by F.M. Noe from ""New York"" and ""northern New York"". Mr. Noe was a collector and dealer of natural history specimens and Native American ""relics"". His correspondence specifically identifies the human remains as Iroquois. Mr. Noe sold the human remains to Franz Boas. The other four individuals represented by Field Museum of Natural History were removed from ""northern New York"" probably by Mr. Boas. Mr. Boas then sold all seven sets of human remains to the Field Museum of Natural History in 1894.",Iroquois,one small fragment of yellow ochre,"originally inventoried as CUI subsequently affiliated to the Cayuga Nation of New York; Oneida Nation of New York; Oneida Tribe of Indians of Wisconsin; Onondaga nation of New York; Seneca Nation of New York; Seneca-Cayuga Tribe of Oklahoma; Saint Regis Mohawk Tribe, New York; Tonawanda Band of Seneca Indians of New York; and Tuscarora Nation of New York."
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Cayuga,Unknown,N/A,3,0,,,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Cayuga,Unknown,PMAE #: 50-70-10/N7480.0,2,0,Donated by Peabody Essex Museum as a gift to the Peabody Museum in 1950. No other locations information is available.,Iroquois/Historic Period (post AD 1540),None,"originally inventoried as CUI subsequently affiliated to the Cayuga Nation of New York; Oneida Nation of New York; Oneida Tribe of Indians of Wisconsin; Onondaga nation of New York; Seneca Nation of New York; Seneca-Cayuga Tribe of Oklahoma; Saint Regis Mohawk Tribe, New York; Tonawanda Band of Seneca Indians of New York; and Tuscarora Nation of New York."
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Cayuga,St. Joseph site in Union Springs,N/A,2,0,"In 1886, human remains representing five individuals were donated to the Peabody Museum of Archaeology and Ethnology by W.W. Adams. Museum documentation indicates that in 1886, two of these individuals were recovered by Mr. Adams from the St. Joseph site in Union Springs, NY. According to museum documentation, Mr. Adams recovered three other individuals from Cayuga County, NY, the smae year, but there is no additional provenience information available for these remains.",,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Chautauqua,Ripley,N/A,37,220,"In 1904, human remains representing 36 individuals were recovered from Ripley, NY, during a Peabody Museum of Archaelolgy and Ethnology. Museum documentation suggests that these remains are from Ripley, NY.",,"whole and broken ceramic vessels; chert knives and stone tools, including a point, drill, and chip; a notched net sinker; a smoothing stone; a celt; a worked stone; brass and shell beads, an iron knife blade; an antler arrow flaker; animal claws, bones, and teeth; bone and antler implements, including a perforator and a hoe; a piece of worked shell; fragments of turtle shell; and red ochre.",
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Chautauqua,Unknown,N/A,1,0,,,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Chemung,Elmira,N/A,1,0,"In 1937, human remains representing one individual from Elmira, NY, were donated to the Peabody Museum of Archaeology and Ethnology as part of a collection from the Department of Archaeology, Phillips Andover Academy, Andover, MA. According to museum records, these remains were recovered by F. Smith before 1937.",,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Erie,"Silverheels site, town of Brant",N/A,122,1486,"In 1903, human remains representing 122 individuals were recovered from Brant, NY, during a Peabody Museum of Archaeology and Ethnology expedition led by M.R Harrington and A.C. Parker.",,"charred corn and acorns; potter's stones, polishing stones, nutting stones and other worked stones; broken celts; flaked chert and debitage; a piece of chipped quartz or red jasper; ceramic sherds, vessels and pipes; iron knives, scissors, awls, and an axe; pigment; glass, shell, catlinite, copper, and brass beads; bracelets of copper and brass beads; bracelets of iron, brass, and wire; brass jingles, brass earrings, and a brass point; sheet brass; broken and charred wooden objects; shells; animal bones, hide and teeth, including fish teeth; worked turtle shell, fragments that are probably part of a rattle, and small pebbles from a rattle; bone tubes and an awl; antler arrow flakers; charcoal; bark; an organic concretion; fragments of a brass bracelet; wood fragments; a ceramic pipe elbow; buckskin fragments with glass beads; leather fragments with glass beads; and a brass spoon fragment.",Corrects AFO reported in NIC0555 published FR 2/17/2006
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Fulton,Garoga site,N/A,3,28,"In 1905, human remains representing five individuals were recovered from the Mohawk Valley in New York during a Peabody Museum expedition led by M.R. Harrington and I. Hayden. The remains of three individuals were recovered from Ephratah, Fulton County, NY. Museum records indicate that the remains of 3 individuals and 28 associated funerary objects came from the Garoga site, 6 miles north of the Mohawk River, along the eastern bank of Carogra Creek",,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Jefferson,"Heath Farm, in Rodman",N/A,41,6,"In 1906, human remains representing 41 individuals were recovered from Heath Farm, in Rodman, NY, during a Peabody Museum expeditin led by M.R. Harrington and I. Hayden.",,"unfinished celts, bone awls, yellow ochre, and animals bones.",culturally affiliated with the Oneida Nation of New York and the Oneida Tribe of Wisconsin
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Jefferson,"Perch River Bay site, Brownville,",N/A,3,0,"In 1906, human remains representing three individuals were recovered from the Perch River Bay site, in Brownville, NY, during a Peabody Museum expedition led by M.R. Harrington and I. Hayden. Museum documentation indicates that the Perch River Bay site is located along the shore of Lake Ontario, at the head of Perch River Bay (now known as Black River Bay), in the township of Brownville, southwest of the village of Limerick, on what was then the farm of Julius Maynard.",,,culturally affiliated with the Oneida Nation of New York and the Oneida Tribe of Wisconsin
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Jefferson,Durfee Farm,N/A,14,0,"In 1906, human remains representing 14 individuals were recovered from Durfee Farm, in Ellisburg, NY, during a Peabody Museum expedition led by M.R. Harrington and I. Hayden. Museum documentation indicates that the Durfee Farm site is in the township of Ellisburg, 3 miles north-northwest of the village of Pierrepont Manor, between Taylor Brook and Spring Brook, in the vicinity of a scattered group of farmhouses that were known locally as the ``Taylor settlement.'",,,culturally affiliated with the Oneida Nation of New York and the Oneida Tribe of Wisconsin
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Livingston,Avon,N/A,22,617,"In 1889, human remains representing 21 individuals were recovered from Avon, NY, by F.W. Putnam, who donated the remains to the Peabody Museum of Archaeology and Ethnology the same year. In 1889, human remains representing one individual were donated to the Peabody Museum of Archaeology and Ethnology by Anson Miller. Museum documentation indicates that Mr. Miller recovered these remains, probably the same year, from Avon, NY.",,"copper, glass, shell, and catlinite beads; ceramic sherds and vessels; wooden knife handle fragments; animal bones and teeth, including bird bones and a portion of a tortoise carapace rim; chipped chert; hematite; a tomahawk; iron knives, an iron point, and iron fragments; pewter implements; a brass kettle; sheet brass; a copper-plated iron bell; sheet copper; copper ornaments; a shell pendant; a textile fragment; a piece of lead; a fossil, parts of 2 ceramic vessels.",
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,N/A,Ganada site,N/A,2,1,"The remains of two individuals were recovered from nearby St. Johnsville, Montgomery County, NY. The remains of 2 individuals and 1 associated funerary object came from the Ganada site, adjacent to Crumb Creek.",1,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Warren Anatomical Museum",New York,Unknown,Unknown,Catalog# 8.2008.15,1,0,"On an unknown date, human remains representing a minimum of one individual were removed from an unknown location. In 1847, the human remains were removed from a public institution in the Boston area by John Collins Warren, MD, and donated to the Warren Anatomical Museum that same year. No known individual was identified.",,no associated funerary objects are present,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Rochester Museum and Science Center,New York,Madison,Msv 005 Deraway site (near Stockbridge),N/A,2,6,"At an unknown date, human remains representing two individuals were recovererd from the Deraway site (Msv 005) near Stockbridge, Madison County, NY by person(s) unknown. In 1979, these human remains were donated to the Rochester Museum and Science Center by Gilber Hagerty.",,"blanket fragments, chert flakes, and a perforated cut brass fragment",
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Rochester Museum and Science Center,New York,Madison,Msv 004 Quarry site (near Stockbridge),N/A,16,39,"At an unknown date, human remains representing 16 individuals were recovered from the Quarry site (Msv 004) near Stockbridge, Madison County, NY by person(s) unknown. In 1979, these remains were donated to the Rochester Museum and Science Center by Gilbert Hagerty.",,"chert chunk, brass fragments, a brass bead, a shell claw pendant, cut bone, charred maize kernels, and pottery sherds.",
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Rochester Museum and Science Center,New York,Madison,Ond 003 Sullivan site (near Stockbridge),N/A,3,0,"At an unknown date, human remains representing three individuals were recovered from the Sullivan site (Ond 003) near Stockbridge, Madison County, NY by person(s) unknown. In 1979, these human remains weredonated to the Rochester Museum and Science Center by Gilbert Hagerty.",,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Rochester Museum and Science Center,New York,Madison,"Sterling site, in Verona",N/A,1,0,"At an unknown date, human remains representing one individual were recovered from the Sterling site, in Verona, Madison County, NY by person(s) unknown. In 1979, these human remains were donated to the Rochester Museum and Science Center by Gilbert Hagerty.",,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,St. Lawrence University,New York,St. Lawrence,private land near Gouverneur,Accessiong #: 001208,1,0,"removed at an unknown date, but probably either in 1928 or 1948, by John Frank Murray. Mr. Murray kept the human remain safely stored in his basement until the 1980s. During the early 1980's (1983 at the latest), Mr. Murray turned over the human remain to Lauren (Foster) French, who was a student at St. Lawrence University. Ms. French then turned the human remain over to Dr. John Barthelme of the Department Anthropology at St. Lawrence University. On January 16, 2008, Dr. Richard A. Gonzalez took custody of the human remain.",,,"originally in NIC1139 published 8/29/2008. Correction notice corrects the number of tribes that were determined to be culturarlly affiliated by adding the Oneida, Cayuga, and Onondaga Indian Nations, in addition to the Mohawk Nation"
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"SUNY, College at Oswego",New York,N/A,Unknown,N/A,2,0,"At an unknown date, human remains consisting, at minimum, of two individuals were removed from an unknown location. These remains were donated to Peter Pratt while he was teaching at SUNY Oswego and he added them to the school’s collection, with the identification of the donor only listed as “Jones.”","Oneida, Onondaga, and Cayuga sites",none,originally inventoried as CUI: revised CA list rcvd Mar 2019
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"SUNY, College at Oswego",New York,N/A,Unknown,N/A,1,0,"At an unknown date, human remains consisting, at minimum, of one individual were recovered from an unknown location. These remains were transferred to SUNY Oswego at an unknown time as part of one of Peter Pratt’s Field School projects.","Oneida, Onondaga, Cayuga sites",none,CA list rcvd Mar 2019
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Univ. of Massachusetts, Amherst, Dept of Anthropology",New York,Otsego,farm in East Springfield,N/A,1,0,"In the 1950s, human remains representing, at minimum, one individual were removed from the farm of Harriet R. and Raymond Rogers in East Springfield, Otsego County, NY. After keeping the human remains several years, a farmer transferred possession to an artist who visited the farm. That artist later learned about NAGPRA and transferred the human remains to the University of Massachusetts, Department of Anthropology. The date of this transfer was not recorded. No known individual was identified.",unknown,none,culturally affiliated with the Cayuga Nation; Oneida Nation; Oneida Nation of New York; Onondaga Nation; Saint Regis Mohawk Tribe (previously listed as the St. Regis Band of Mohawk Indians of New York); Seneca Nation of Indians (previously listed as the Seneca Nation of New York); Seneca-Cayuga Nation (previously listed as the Seneca-Cayuga Tribe of Oklahoma); Tonawanda Band of Seneca (previously listed as the Tonawanda Band of Seneca Indians of New York); and Tuscarora Nation (hereinafter known as the Haudenosaunee Confederacy).
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Univ. of Pennsylvania Museum of Archaeology and Anthropology,New York,Madison,"Ellenwood site, Munnsville","#44-11-1.1, 44-11-1.2",2,4,"In 1944, human remains representing two individuals were removed from the Ellenwood site, Munnsville, NY by Mr. (Elton?) Lake. In 1944, these human remains were donated to the University of Pennsylvania Museum by George Roberts of Sharon Hill, PA",,three iron fragments and mirror glass,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Denver Museum of Nature and Sciencce,Pennsylvania,Lancaster,Keller Site,Accession #: AC 9471.9542,2,4,"In 1983, human remains representing two individuals were donated to DMNS by Mary W.A. Crane and Francis V. Crane who obtained them from Mr. Gerald B. Fenstermaker in 1965. One individual is identified only by a small collection of cut human hair, said to have come from an Iroquois grave; the other by ten teeth strung together with other objects onto a necklace. Mr. Fenstermaker, an avocational archaeologist in Lancaster, Pennsylvania, recovered these materials in private excavations in 1927 at the Keller Site in Manor Township of Lancaster County, Pennyslvania.",Susquehannock Culture,"one vial of white paint, one vial of red paint, double-necked jar, and one necklack with various red, white, blue and black glass beads, 4 copper bell, 1 brass tubular bead, 1 scoop spoon, and one bear's tooth.","originally inventoried as culturally unidentifiable subsequently culturally affiliated with the Cayuga Nation of New York; Oneida Nation of New York; Oneida Tribe of Indians of Wisconsin; Onondaga Nation; Saint Regis Mohawk Tribe, New York; Seneca Nation of New York; Seneca-Cayuga Tribe of Oklahoma; Tonawanda Band of Seneca Indians; and the Tuscarora Nation of New York. Email sent 12/14/11 indicating repatriation - actual repatriation date unknown"
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Denver Museum of Nature and Sciencce,Pennsylvania,Lancaster,Susquehannock burial sites,Accession #: AC 9812 A-B,1,31,Donated by private individuals in 1983 who obtained the materials from G. Fenstermaker in 1965,Susquhannock culture and Protohistoric-historic based on Euroamerican trade goods,"19 projectile points, 1 musket ball, 1 red glass bead, 1 shell disk beak, 7 elk's teeth, frags of animal bonte, frags of copper and iron","originally inventoried as culturally unidentifiable subsequently culturally affiliated to the Cayuga Nation of New York; Oneida Nation of New York; Oneida Tribe of Indians of Wisconsin; Onondaga Nation; Saint Regis Mohawk Tribe, New York; Seneca Nation of New York; Seneca-Cayuga Tribe of Oklahoma; Tonawanda Band of Seneca Indians; and the Tuscarora Nation of New York. Email sent 12/14/11 indicating repatriation - actual repatriation date unknown"
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,Denver Museum of Nature and Sciencce,Pennsylvania,Lancaster,Keller Site,"Accession #: AC 9471, 9542",2,4,"In 1983, human remains representing two individuals were donated to DMNS by Mary W.A. Crane and Francis V. Crane who obtained them from Mr. Gerald B. Fenstermaker in 1965. One individual is identified only by a small collection of cut human hair, said to have come from an Iroquois grave; the other by ten teeth strung together with other objects onto a necklace. Mr. Fenstermaker, an avocational archaeologist in Lancaster, Pennsylvania, recovered these materials in private excavations in 1927 at the Keller Site in Manor Township of Lancaster County, Pennyslvania.",Susquehannock Culture,"one vial of white paint, one vial of red paint, double-necked jar, and one necklack with various red, white, blue and black glass beads, 4 copper bell, 1 brass tubular bead, 1 scoop spoon, and one bear's tooth.","originally inventoried as culturally unidentifiable subsequently culturally affiliated with the Cayuga Nation of New York; Oneida Nation of New York; Oneida Tribe of Indians of Wisconsin; Onondaga Nation; Saint Regis Mohawk Tribe, New York; Seneca Nation of New York; Seneca-Cayuga Tribe of Oklahoma; Tonawanda Band of Seneca Indians; and the Tuscarora Nation of New York. Email sent 12/14/11 indicating repatriation - actual repatriation date unknown"
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",Pennsylvania,Bradford,Athens,"21-2-10/59397.0, 21-2-10/59397.1",2,0,"In 1921, human remains representing two individuals were recovered  from Athens, PA, during a Peabody Museum expedition led by Paul F. Scott",,,
Oneida Nation (previously listed as the Oneida Tribe of Indians of Wisconsin),OneidaWI,"Univ. of Massachusetts, Amherst, Dept of Anthropology",Unknown,Unknown,Unknown,N/A,1,0,"One individual from an unknown provenience, represented by the vault portion of the cranium (top, sides, and back of the head). The following idenitification is written on the back of the cranium in black ink: ""Prehistoric Iriquois [sic] UU 21524/2."" No known individual was identified.",unknown,none,originally inventoried as culturally unidentifiable subsequently culturally affiliated with the Cayuga Nation; Oneida Nation; Oneida Nation of New York; Onondaga Nation; Saint Regis Mohawk Tribe (previously listed as the St. Regis Band of Mohawk Indians of New York); Seneca Nation of Indians (previously listed as the Seneca Nation of New York); Seneca-Cayuga Nation (previously listed as the Seneca-Cayuga Tribe of Oklahoma); Tonawanda Band of Seneca (previously listed as the Tonawanda Band of Seneca Indians of New York); and Tuscarora Nation (hereinafter known as the Haudenosaunee Confederacy).
Oneida Tribe of Wisconsin,OneidaWI,"Harvard University, Peabody Museum of Archaeology and Ethnology",New York,Erie,Near Buffalo,N/A,1,0,"In 1896, human remains representing one individual were recovered near Buffalo, NY, during a Peabody Museum expedition led by F.W. Putnam.",,,
Oneida Tribe of Wisconsin,OneidaWI,Rochester Museum and Science Center,New York,Madison,Msv 001 Thurston site,"Catalog # AP 873, 874",3,0,"At an unknown date, human remains representing three individuals were recovered from the Thurston site (Msv 001), Eaton Township, Madison County, NY by Herbert Bigford, who donated these human remains to the Rochester Museum and Science Center in 1945.",,,
Ho-Chunk Nation,HoChunkNation,"U.S. Dept. of Agriculture, FS, Tonto NF",Arizona,Gila,AZ C: 1.44,Accession #: none1982-B,2,0,Remains representing a minimum of 2 individuals were recovered from disturbed burials/cremations and were collected from the surface of Rooms 1 and 3 by the Sierra Ancha Survey Project in 1982.,Mongollon AD 1300-AD 1400,,"affiliated to Hopi and Zuni. The project has not been formally transferred to the ASM collections for permanent accession, they remain in the custody of the Sierra Ancha Survey Project"
Ho-Chunk Nation,HoChunkNation,"Univ. of Iowa, Office of the State Archaeologist",Iowa,Lyon,13LO2,Accession #: Burial Project 1892,2,0,"13LO2, the Blood Run National Historic Landmark site, is a known Oneota site located in northwest Lyon County, Iowa. In 1980, several small human skeletal elements were collected from the surface of  mounds at the site during an archaeological survey. The remains were transferred to the Office of the State Archaeologist Burials Program.",Oneota,none,"culturally affiliated with the Ho-Chunk Nation of Wisconsin; the Iowa Tribe of Kansas and Nebraska; the Iowa Tribe of Oklahoma; the Omaha Tribe of Nebraska; the Otoe-Missouria Tribe of Indians, Oklahoma; the Ponca Tribe of Nebraska; the Ponca Tribe of Indians of Oklahoma; and the Winnebago Tribe of Nebraska."
Ho-Chunk Nation,HoChunkNation,"Univ. of Iowa, Office of the State Archaeologist",Iowa,Lyon,13LO2,Accession #: Burial Project 2891,2,0,"13LO2, the Blood Run National Historic Landmark site, is a known Oneota site locatin in northwest Lyon County, Iowa. Amy Harvey received her doctorate degree from the University of Wisconsin-Madison in the 1960s. Her doctoral research focused on Oneota sites in Iowa, including 13LO2. In 1965, she took a teaching position with Stephens College in Columbia, Missouri. The collections she used for her doctoral research went with her to Stephens College, and she accumulated other collections from numerous sites in Iowa and Missouri during her career. Harvey died in 1998. The University of Iowa Office of the State Archaeologist (OSA) initiated attempts to locate Harvey’s Iowa collections in the mid-1990s but was unsuccessful until 2010. The human skeletal remains from 13LO2 had been stored at Stephens College in Columbia, Missouri. They were transferred to the OSA Burials Program in 2010. Materials from 13LO2, had been in the collections transferred to the OSA in 2010 (OSA 2013a). Harvey had been involved in archaeological excavations at 13LO2 in 1964 through the University of Wisconsin-Madison (Harvey 1971, 1979). Human skeletal remains recovered during those excavations have been reported on and reburied.",Oneota,none,"culturally affiliated with the Ho-Chunk Nation of Wisconsin; the Iowa Tribe of Kansas and Nebraska; the Iowa Tribe of Oklahoma; the Omaha Tribe of Nebraska; the Otoe-Missouria Tribe of Indians, Oklahoma; the Ponca Tribe of Nebraska; the Ponca Tribe of Indians of Oklahoma; and the Winnebago Tribe of Nebraska."
Ho-Chunk Nation,HoChunkNation,"Univ. of Iowa, Office of the State Archaeologist",Iowa,Lyon,"13LO2, Blood Run",BP 3335,6,2,"In 1964, human remains representing, at minimum, six individuals were removed from the Blood Run site (13LO2) in Lyon County, IA. The human remains were removed during an archeological excavation conducted by Dale Henning, and were stored at the University of Wisconsin. At an unknown date, these human remains were transferred to the University of Tennessee, Knoxville. In July 2018, the human remains were transferred to the Iowa Office of the State Archaeologist Bioarchaeology Program (OSA-BP).",Oneota,tooth of a canine and a faunal long bone fragment,"new CA list rcvd Aug 2018 culturally affiliated with the Ho-Chunk Nation of Wisconsin; the Iowa Tribe of Kansas and Nebraska; the Iowa Tribe of Oklahoma; the Omaha Tribe of Nebraska; the Otoe-Missouria Tribe of Indians, Oklahoma; the Ponca Tribe of Nebraska; the Ponca Tribe of Indians of Oklahoma; and the Winnebago Tribe of Nebraska."
Ho-Chunk Nation,HoChunkNation,"Univ. of Iowa, Office of the State Archaeologist",Iowa,Lyon,"13LO2, Blood Run",BP 3198,1,0,"During the second half of the 20th century, human remains representing, at minimum, one individual were removed from the Blood Run site (13LO2) in Lyon County, IA. An incomplete mandible was recovered from the ground surface of the site by a private collector. In May 2017, the human remains wre transferred to the OSA-BP.",Oneota,none,"new CA list rcvd Aug 2018 culturally affiliated with the Ho-Chunk Nation of Wisconsin; the Iowa Tribe of Kansas and Nebraska; the Iowa Tribe of Oklahoma; the Omaha Tribe of Nebraska; the Otoe-Missouria Tribe of Indians, Oklahoma; the Ponca Tribe of Nebraska; the Ponca Tribe of Indians of Oklahoma; and the Winnebago Tribe of Nebraska."
